FAST,ORB,1,12.935,9.17646,3.75853
FAST,ORB,2,12.2967,9.19907,3.0976
FAST,ORB,3,16.9097,12.346,4.56376
FAST,ORB,4,14.5878,20.8251,-6.23729
FAST,ORB,5,14.4231,27.9857,-13.5627
FAST,ORB,6,14.0064,12.1959,1.81048
FAST,ORB,7,13.2902,12.5805,0.709789
FAST,ORB,8,12.7502,13.16,-0.409877
FAST,ORB,9,12.4447,9.90292,2.54182
FAST,ORB,10,11.841,9.72453,2.11648
FAST,ORB,11,11.5036,8.76662,2.73703
FAST,ORB,12,10.3929,8.61854,1.77432
FAST,ORB,13,9.74847,10.1049,-0.35638
FAST,ORB,14,9.16878,9.53335,-0.36458
FAST,ORB,15,8.24923,12.2243,-3.97505
FAST,ORB,16,9.10631,7.93352,1.17278
FAST,ORB,17,11.2678,5.86578,5.40199
FAST,ORB,18,8.21619,10.1666,-1.95037
