ORB,BRISK,1,12.935,21.3843,-8.44935
ORB,BRISK,2,12.2967,15.6029,-3.30626
ORB,BRISK,3,16.9097,18.2847,-1.37494
ORB,BRISK,4,14.5878,22.6837,-8.0959
ORB,BRISK,5,14.4231,53.5708,-39.1478
ORB,BRISK,6,14.0064,31.4581,-17.4517
ORB,BRISK,7,13.2902,29.6127,-16.3225
ORB,BRISK,8,12.7502,19.6279,-6.87771
ORB,BRISK,9,12.4447,7.94684,4.49791
ORB,BRISK,10,11.841,13.8315,-1.99049
ORB,BRISK,11,11.5036,12.9991,-1.49548
ORB,BRISK,12,10.3929,15.6591,-5.26619
ORB,BRISK,13,9.74847,10.4061,-0.657658
ORB,BRISK,14,9.16878,9.31449,-0.145717
ORB,BRISK,15,8.24923,11.1699,-2.92071
ORB,BRISK,16,9.10631,9.15859,-0.0522808
ORB,BRISK,17,11.2678,14.2155,-2.94774
ORB,BRISK,18,8.21619,11.1486,-2.93245
