SHITOMASI,ORB,1,12.935,24.1114,-11.1764
SHITOMASI,ORB,2,12.2967,8.06365,4.23302
SHITOMASI,ORB,3,16.9097,17.5286,-0.618877
SHITOMASI,ORB,4,14.5878,16.3588,-1.77098
SHITOMASI,ORB,5,14.4231,25.018,-10.5949
SHITOMASI,ORB,6,14.0064,14.8159,-0.809528
SHITOMASI,ORB,7,13.2902,38.0582,-24.768
SHITOMASI,ORB,8,12.7502,7.48459,5.26557
SHITOMASI,ORB,9,12.4447,9.68448,2.76026
SHITOMASI,ORB,10,11.841,19.9674,-8.12638
SHITOMASI,ORB,11,11.5036,10.3696,1.134
SHITOMASI,ORB,12,10.3929,11.553,-1.16013
SHITOMASI,ORB,13,9.74847,9.51621,0.232263
SHITOMASI,ORB,14,9.16878,9.35645,-0.187673
SHITOMASI,ORB,15,8.24923,9.67312,-1.42388
SHITOMASI,ORB,16,9.10631,5.83726,3.26904
SHITOMASI,ORB,17,11.2678,8.49725,2.77052
SHITOMASI,ORB,18,8.21619,7.54624,0.669954
